Period,Month,Average_Price_All_Types,Yearly_Percentage_Change_Ave_All_Types,Monthly_Percentage_Change_Ave_All_Types,HPI_All_Types,Sales_Volume_All_Types,Average_Price_Detached,Yearly_Percentage_Change_Ave_Detached,Monthly_Percentage_Change_Ave_Detached,HPI_Detached,Average_Price_Semi_Detached,Yearly_Percentage_Change_Ave_Semi_Detached,Monthly_Percentage_Change_Ave_Semi_Detached,HPI_ Semi_Detached,Average_Price_Terraced,Yearly_Average_Percentage_Change_Terraced,Monthly_Average_Percentage_Change_Terraced,HPI_Terraced,Average_Price_Flats_Maisonettes,Yearly_Percentage_Change__Flats_Maisonettes,Monthly_Percentage_Change__Flats_Maisonettes,HPI_Flats_Maisonettes
2015,11,445485,11.15,1.14,110.58,9752,828661,11.51,0.47,111.46,528318,11.93,0.59,111.95,458454,12.03,0.67,112.1,395612,10.37,1.6,109.33
2015,12,450053,11.7,1.03,111.72,9700,844884,14.23,1.96,113.64,536465,14.3,1.54,113.68,462912,13.05,0.97,113.2,398893,10.09,0.83,110.24
2016,1,457466,13.56,1.65,113.56,7927,846956,13.92,0.25,113.92,546758,15.86,1.92,115.86,470317,15.01,1.6,115.01,405793,12.15,1.73,112.15
2016,2,457759,13.09,0.06,113.63,8208,863896,15.43,2,116.2,550400,16.19,0.67,116.63,472651,15.01,0.5,115.58,403745,11.05,-0.5,111.58
2016,3,464647,14.81,1.5,115.34,17501,873391,16.97,1.1,117.47,549954,16.01,-0.08,116.54,477329,16.24,0.99,116.72,412842,13.54,2.25,114.1
2016,4,461068,12.33,-0.77,114.45,5746,859832,13.19,-1.55,115.65,551600,14.81,0.3,116.89,477313,13.88,0,116.72,407094,10.78,-1.39,112.51
2016,5,467485,12.43,1.39,116.05,6617,864839,14.07,0.58,116.32,557920,14.93,1.15,118.23,481745,14.11,0.93,117.8,414351,10.73,1.78,114.51
2016,6,468120,11.6,0.14,116.2,8464,885121,14.64,2.35,119.05,560281,13.63,0.42,118.73,483455,11.99,0.35,118.22,413275,10.57,-0.26,114.21
2016,7,475530,10.17,1.58,118.04,8794,893103,13.37,0.9,120.13,572688,13.14,2.21,121.36,493363,11.2,2.05,120.64,418347,8.54,1.23,115.62
2016,8,471957,8.21,-0.75,117.16,8535,889075,10.33,-0.45,119.58,568552,10.4,-0.72,120.48,488355,8.78,-1.02,119.42,415648,7.13,-0.65,114.87
2016,9,471767,7.29,-0.04,117.11,8275,883706,7.69,-0.6,118.86,565376,9.35,-0.56,119.81,486660,7.97,-0.35,119,416967,6.33,0.32,115.24
2016,10,471008,6.93,-0.16,116.92,8100,883336,7.1,-0.04,118.81,565977,7.76,0.11,119.93,482452,5.94,-0.86,117.97,417532,7.22,0.14,115.39
2016,11,470854,5.69,-0.03,116.88,8178,886553,6.99,0.36,119.25,562093,6.39,-0.69,119.11,480836,4.88,-0.34,117.58,418660,5.83,0.27,115.7
2016,12,472374,4.96,0.32,117.26,8460,887005,4.99,0.05,119.31,562272,4.81,0.03,119.15,483479,4.44,0.55,118.22,419937,5.28,0.31,116.06
2017,1,475619,3.97,0.69,118.06,6931,893279,5.47,0.71,120.15,568911,4.05,1.18,120.56,487710,3.7,0.88,119.26,421834,3.95,0.45,116.58
2017,2,476717,4.14,0.23,118.34,7108,887959,2.79,-0.6,119.43,563242,2.33,-1,119.36,482631,2.11,-1.04,118.02,427256,5.82,1.29,118.08
2017,3,475442,2.32,-0.27,118.02,8659,893859,2.34,0.66,120.23,566834,3.07,0.64,120.12,485460,1.7,0.59,118.71,422917,2.44,-1.02,116.88
2017,4,479790,4.06,0.91,119.1,7120,899133,4.57,0.59,120.94,567701,2.92,0.15,120.3,488136,2.27,0.55,119.36,428541,5.27,1.33,118.43
2017,5,480902,2.87,0.23,119.38,7874,890430,2.96,-0.97,119.77,571569,2.45,0.68,121.12,487874,1.27,-0.05,119.3,430111,3.8,0.37,118.87
2017,6,480152,2.57,-0.16,119.19,9192,890539,0.61,0.01,119.78,569116,1.58,-0.43,120.6,490877,1.54,0.62,120.03,428001,3.56,-0.49,118.28
2017,7,488527,2.73,1.74,121.27,8494,903023,1.11,1.4,121.46,582307,1.68,2.32,123.4,499705,1.29,1.8,122.19,434837,3.94,1.6,120.17
2017,8,487085,3.21,-0.3,120.91,8921,904655,1.75,0.18,121.68,579880,1.99,-0.42,122.88,501173,2.62,0.29,122.55,432209,3.98,-0.6,119.45
2017,9,483833,2.56,-0.67,120.1,8239,913220,3.34,0.95,122.83,578519,2.32,-0.23,122.59,496318,1.98,-0.97,121.36,428892,2.86,-0.77,118.53
2017,10,481762,2.28,-0.43,119.59,7990,908782,2.88,-0.49,122.24,580410,2.55,0.33,122.99,494013,2.4,-0.46,120.8,426315,2.1,-0.6,117.82
2017,11,476290,1.15,-1.14,118.23,7629,892900,0.72,-1.75,120.1,573421,2.02,-1.2,121.51,488341,1.56,-1.15,119.41,421807,0.75,-1.06,116.57
2017,12,476848,0.95,0.12,118.37,7883,899100,1.36,0.69,120.93,573194,1.94,-0.04,121.46,489692,1.29,0.28,119.74,421917,0.47,0.03,116.6
2018,1,479780,0.87,0.61,119.1,6584,895418,0.24,-0.41,120.44,576806,1.39,0.63,122.23,490664,0.61,0.2,119.98,425777,0.93,0.91,117.67
2018,2,477598,0.18,-0.45,118.56,6380,896598,0.97,0.13,120.6,573091,1.75,-0.64,121.44,488453,1.21,-0.45,119.44,423837,-0.8,-0.46,117.13
2018,3,474257,-0.25,-0.7,117.73,7333,887811,-0.68,-0.98,119.41,570892,0.72,-0.38,120.98,487126,0.34,-0.27,119.12,419842,-0.73,-0.94,116.03
2018,4,477543,-0.47,0.69,118.54,6474,898342,-0.09,1.19,120.83,577509,1.73,1.16,122.38,492130,0.82,1.03,120.34,421509,-1.64,0.4,116.49
2018,5,479402,-0.31,0.39,119,6919,902230,1.33,0.43,121.35,579435,1.38,0.33,122.79,495863,1.64,0.76,121.25,422504,-1.77,0.24,116.77
2018,6,479920,-0.05,0.11,119.13,7957,909666,2.15,0.82,122.35,586208,3,1.17,124.22,496344,1.11,0.1,121.37,421693,-1.47,-0.19,116.54
2018,7,485065,-0.71,1.07,120.41,8154,926155,2.56,1.81,124.57,590328,1.38,0.7,125.09,503925,0.84,1.53,123.22,425503,-2.15,0.9,117.59
2018,8,481837,-1.08,-0.67,119.61,8692,913172,0.94,-1.4,122.83,583120,0.56,-1.22,123.57,498990,-0.44,-0.98,122.02,424068,-1.88,-0.34,117.2
2018,9,477467,-1.32,-0.91,118.52,7210,914703,0.16,0.17,123.03,582683,0.72,-0.07,123.47,496340,0,-0.53,121.37,418341,-2.46,-1.35,115.61
2018,10,481065,-0.14,0.75,119.42,7235,918244,1.04,0.39,123.51,584883,0.77,0.38,123.94,499809,1.17,0.7,122.22,422087,-0.99,0.9,116.65
2018,11,474318,-0.41,-1.4,117.74,6888,913457,2.3,-0.52,122.86,578798,0.94,-1.04,122.65,494126,1.18,-1.14,120.83,415030,-1.61,-1.67,114.7
2018,12,473574,-0.69,-0.16,117.56,,901968,0.32,-1.26,121.32,579688,1.13,0.15,122.84,491680,0.41,-0.49,120.23,415043,-1.63,0,114.7
2019,1,472230,-1.57,-0.28,117.22,,906825,1.27,0.54,121.97,575903,-0.16,-0.65,122.04,488242,-0.49,-0.7,119.39,414742,-2.59,-0.07,114.62
